130	2	10.25
0	2.25	10.25
0	2.5	10.25
0	2.75	10.25
0	3	10.22
0	3.25	10.19
0	3.5	10.16
0	3.75	10.13
0	4	10.06
0	4.25	10.03
141	2	10.19
0	2.25	10.19
0	2.5	10.16
0	2.75	10.13
0	3	10.09
0	3.25	10.03
0	3.5	9.94
0	3.75	9.82
0	4	9.66
0	4.25	9.5
142	2	10.13
0	2.25	10.09
0	2.5	10.03
0	2.75	9.97
0	3	9.88
0	3.25	9.67
0	3.5	9.63
0	3.75	9.47
0	4	9.22
144.9	2.25	9.66
0	2.5	9.5
0	2.75	9.28
0	3	9.03
0	3.25	8.88
0	3.5	8.66
145.6	2.75	9.03
0	3	8.72
0	3.25	8.5
0	3.5	8.25
0	3.75	8.09
0	4	7.94
146	2.5	8.72
0	2.75	8.47
0	3	8.25
0	3.25	8.06
0	3.5	7.94
0	3.75	7.82
0	4	7.67
150.8	2	7.97
0	2.25	7.85
0	2.5	7.78
0	2.75	7.72
0	3	7.69
0	3.25	7.64
0	3.5	7.59
0	3.75	7.55
0	4	7.5
0	4.25	7.44
0	4.5	7.34
0	4.75	7.25
156	2	7.59
0	2.25	7.55
0	2.5	7.5
0	2.75	7.41
0	3	7.34
0	3.25	7.25
0	3.5	7.19
0	3.75	7.06
0	4	6.94
0	4.25	6.78
0	4.5	6.59
0	4.75	6.38
0	5	6.13
159	2.25	7.34
0	2.5	7.25
0	2.75	7.16
0	3	7.03
0	3.25	6.94
0	3.5	6.78
0	3.75	6.63
0	4	6.41
0	4.25	6.13
0	4.5	5.85
0	4.75	5.53
161.5	2.25	7.06
0	2.5	6.97
0	2.75	6.85
0	3	6.64
0	3.25	6.5
0	3.5	6.31
0	3.75	6.06
0	4	5.78
0	4.25	5.47
167	2.25	6.72
0	2.5	6.5
0	2.75	6.25
0	3	5.97
0	3.25	5.63
0	3.5	5.22
171	2.25	6
0	2.5	5.72
0	2.75	5.41
0	3	5.03
0	3.25	4.63
